heder	Length	GC_amont	CG_precent
>ENST00000622028.1 cds chromosome	353	193	54.67 %
>ENST00000632585.1 cds scaffold	345	158	45.80 %
>ENST00000632205.1 cds scaffold	351	183	52.14 %
>ENST00000632891.1 cds scaffold	351	184	52.42 %
>ENST00000633250.1 cds scaffold	348	187	53.74 %
>ENST00000631614.2 cds scaffold	345	179	51.88 %
>ENST00000633273.1 cds scaffold	351	184	52.42 %
>ENST00000632088.2 cds scaffold	345	191	55.36 %
>ENST00000632502.1 cds scaffold	351	188	53.56 %
>ENST00000632887.1 cds scaffold	345	191	55.36 %
>ENST00000632011.1 cds scaffold	351	179	51.00 %
>ENST00000632229.1 cds scaffold	351	185	52.71 %
>ENST00000632822.1 cds scaffold	348	195	56.03 %
>ENST00000631699.1 cds scaffold	342	173	50.58 %
>ENST00000633851.1 cds scaffold	360	190	52.78 %
>ENST00000631531.1 cds scaffold	351	182	51.85 %
>ENST00000633682.1 cds scaffold	360	194	53.89 %
>ENST00000632910.1 cds scaffold	360	196	54.44 %
>ENST00000634204.1 cds scaffold	324	151	46.60 %
>ENST00000632835.1 cds scaffold	351	175	49.86 %
>ENST00000632103.1 cds scaffold	351	182	51.85 %
>ENST00000631411.1 cds scaffold	351	182	51.85 %
>ENST00000632811.1 cds scaffold	312	166	53.21 %
>ENST00000632384.1 cds scaffold	315	167	53.02 %
>ENST00000634015.1 cds scaffold	353	185	52.41 %
>ENST00000633833.1 cds scaffold	353	195	55.24 %
>ENST00000632076.1 cds scaffold	353	190	53.82 %
>ENST00000633490.1 cds scaffold	353	195	55.24 %
>ENST00000632333.1 cds scaffold	353	183	51.84 %
>ENST00000632151.1 cds scaffold	356	208	58.43 %
>ENST00000632977.1 cds scaffold	353	195	55.24 %
>ENST00000612474.2 cds scaffold	371	213	57.41 %
>ENST00000633618.1 cds scaffold	377	216	57.29 %
>ENST00000631807.1 cds scaffold	353	191	54.11 %
>ENST00000632980.1 cds scaffold	353	191	54.11 %
>ENST00000631826.1 cds scaffold	353	191	54.11 %
>ENST00000632719.1 cds scaffold	353	203	57.51 %
>ENST00000633426.1 cds scaffold	350	191	54.57 %
>ENST00000631755.1 cds scaffold	351	188	53.56 %
>ENST00000631975.1 cds scaffold	350	189	54.00 %
>ENST00000633147.1 cds scaffold	353	198	56.09 %
>ENST00000631869.1 cds scaffold	353	191	54.11 %
>ENST00000633752.1 cds scaffold	353	204	57.79 %
>ENST00000631710.1 cds scaffold	356	183	51.40 %
>ENST00000632225.1 cds scaffold	353	186	52.69 %
>ENST00000632959.1 cds scaffold	359	187	52.09 %
>ENST00000620764.2 cds scaffold	353	207	58.64 %
>ENST00000633988.1 cds scaffold	353	193	54.67 %
>ENST00000632457.1 cds scaffold	358	195	54.47 %
>ENST00000619078.2 cds scaffold	350	199	56.86 %
>ENST00000632173.1 cds scaffold	358	195	54.47 %
>ENST00000633040.1 cds scaffold	355	179	50.42 %
>ENST00000632846.1 cds scaffold	350	188	53.71 %
>ENST00000633602.1 cds scaffold	359	189	52.65 %
>ENST00000614315.1 cds scaffold	303	165	54.46 %
>ENST00000632296.1 cds scaffold	353	185	52.41 %
>ENST00000633446.1 cds scaffold	353	204	57.79 %
>ENST00000632614.1 cds scaffold	353	196	55.52 %
>ENST00000560724.3 cds scaffold	358	196	54.75 %
>ENST00000632052.1 cds scaffold	356	191	53.65 %
>ENST00000631785.1 cds scaffold	349	185	53.01 %
>ENST00000631708.1 cds scaffold	359	195	54.32 %
