heder	Length	GC_amont	CG_precent
>lcl|NC_001133.9_cds_NP_009332.1_1 	1050	522	49.71 %
>lcl|NC_001133.9_cds_NP_009333.1_3 	1782	643	36.08 %
>lcl|NC_001133.9_cds_NP_009335.1_4 	387	171	44.19 %
>lcl|NC_001133.9_cds_NP_009336.1_5 	381	173	45.41 %
>lcl|NC_001133.9_cds_NP_058136.1_6 	381	167	43.83 %
>lcl|NC_001133.9_cds_NP_009338.1_9 	3969	1772	44.65 %
>lcl|NC_001133.9_cds_NP_009339.1_10 	1374	669	48.69 %
>lcl|NC_001133.9_cds_NP_009340.1_11 	1254	607	48.41 %
>lcl|NC_001133.9_cds_NP_009341.2_12 	1149	517	45.00 %
>lcl|NC_001133.9_cds_NP_009342.2_13 	639	258	40.38 %
>lcl|NC_001133.9_cds_NP_009343.1_14 	1509	655	43.41 %
>lcl|NC_001133.9_cds_NP_009345.3_15 	2643	1044	39.50 %
>lcl|NC_001133.9_cds_NP_009346.1_16 	543	230	42.36 %
>lcl|NC_001133.9_cds_NP_009347.1_17 	2142	972	45.38 %
>lcl|NC_001133.9_cds_NP_009348.2_18 	2352	985	41.88 %
>lcl|NC_001133.9_cds_NP_009349.3_19 	3144	1173	37.31 %
>lcl|NC_001133.9_cds_NP_009350.1_20 	741	310	41.84 %
>lcl|NC_001133.9_cds_NP_009351.1_21 	1989	794	39.92 %
>lcl|NC_001133.9_cds_NP_009352.2_22 	1869	683	36.54 %
>lcl|NC_001133.9_cds_NP_009353.1_23 	357	172	48.18 %
>lcl|NC_001133.9_cds_NP_075206.1_24 	333	157	47.15 %
>lcl|NC_001133.9_cds_NP_009355.3_25 	513	248	48.34 %
>lcl|NC_001133.9_cds_NP_009356.1_26 	2358	1085	46.01 %
>lcl|NC_001133.9_cds_NP_009358.1_27 	1248	619	49.60 %
>lcl|NC_001133.9_cds_NP_009359.1_28 	2565	998	38.91 %
>lcl|NC_001133.9_cds_NP_009360.1_29 	1743	716	41.08 %
>lcl|NC_001133.9_cds_NP_009361.1_30 	810	430	53.09 %
>lcl|NC_001133.9_cds_NP_009362.1_31 	1503	694	46.17 %
>lcl|NC_001133.9_cds_NP_009363.1_33 	804	315	39.18 %
>lcl|NC_001133.9_cds_NP_009364.1_34 	1110	485	43.69 %
>lcl|NC_001133.9_cds_NP_009365.1_35 	3009	1243	41.31 %
>lcl|NC_001133.9_cds_NP_009367.1_36 	870	335	38.51 %
>lcl|NC_001133.9_cds_NP_009368.2_37 	1242	524	42.19 %
>lcl|NC_001133.9_cds_NP_009369.1_38 	522	217	41.57 %
>lcl|NC_001133.9_cds_NP_009370.1_39 	1140	516	45.26 %
>lcl|NC_001133.9_cds_NP_009371.1_40 	2283	915	40.08 %
>lcl|NC_001133.9_cds_NP_009372.1_41 	354	150	42.37 %
>lcl|NC_001133.9_cds_NP_009373.1_42 	4416	1641	37.16 %
>lcl|NC_001133.9_cds_NP_009374.1_43 	1587	675	42.53 %
>lcl|NC_001133.9_cds_NP_009375.1_44 	786	302	38.42 %
>lcl|NC_001133.9_cds_NP_009376.2_45 	4068	1529	37.59 %
>lcl|NC_001133.9_cds_NP_009377.2_46 	921	389	42.24 %
>lcl|NC_001133.9_cds_NP_009378.1_47 	4308	1597	37.07 %
>lcl|NC_001133.9_cds_NP_009379.2_48 	2280	1016	44.56 %
