heder	Length	GC_amont	CG_precent
>lcl|NC_000913.3_cds_NP_414542.1_1 	66	34	51.52 %
>lcl|NC_000913.3_cds_NP_414543.1_2 	2463	1307	53.07 %
>lcl|NC_000913.3_cds_NP_414544.1_3 	933	525	56.27 %
>lcl|NC_000913.3_cds_NP_414545.1_4 	1287	680	52.84 %
>lcl|NC_000913.3_cds_NP_414546.1_5 	297	160	53.87 %
>lcl|NC_000913.3_cds_NP_414547.1_6 	777	386	49.68 %
>lcl|NC_000913.3_cds_NP_414548.1_7 	1431	763	53.32 %
>lcl|NC_000913.3_cds_NP_414549.1_8 	954	496	51.99 %
>lcl|NC_000913.3_cds_NP_414550.1_9 	588	320	54.42 %
>lcl|NC_000913.3_cds_NP_414551.1_10 	567	301	53.09 %
>lcl|NC_000913.3_cds_NP_414552.1_11 	714	363	50.84 %
>lcl|NC_000913.3_cds_YP_009518733.1_12 	486	234	48.15 %
>lcl|NC_000913.3_cds_NP_414554.1_13 	405	198	48.89 %
>lcl|NC_000913.3_cds_NP_414555.1_14 	1917	980	51.12 %
>lcl|NC_000913.3_cds_NP_414556.1_15 	1131	624	55.17 %
>lcl|NC_000913.3_cds_NP_414557.1_16 	1113	578	51.93 %
>lcl|NC_000913.3_cds_NP_414559.1_17 	210	108	51.43 %
>lcl|NC_000913.3_cds_YP_025292.1_18 	153	81	52.94 %
>lcl|NC_000913.3_cds_NP_414560.1_19 	1167	600	51.41 %
>lcl|NC_000913.3_cds_NP_414561.1_20 	906	430	47.46 %
>lcl|NC_000913.3_cds_NP_414562.1_21 	504	275	54.56 %
>lcl|NC_000913.3_cds_NP_414563.1_22 	276	146	52.90 %
>lcl|NC_000913.3_cds_NP_414564.1_23 	264	123	46.59 %
>lcl|NC_000913.3_cds_NP_414565.1_24 	219	107	48.86 %
>lcl|NC_000913.3_cds_NP_414566.1_25 	942	505	53.61 %
>lcl|NC_000913.3_cds_NP_414567.1_26 	2817	1571	55.77 %
>lcl|NC_000913.3_cds_NP_414568.1_27 	495	265	53.54 %
>lcl|NC_000913.3_cds_NP_414569.1_28 	450	245	54.44 %
>lcl|NC_000913.3_cds_NP_414570.1_29 	951	524	55.10 %
>lcl|NC_000913.3_cds_NP_414571.1_30 	915	515	56.28 %
>lcl|NC_000913.3_cds_NP_414572.1_31 	822	439	53.41 %
>lcl|NC_000913.3_cds_NP_414573.1_32 	1149	613	53.35 %
>lcl|NC_000913.3_cds_NP_414574.1_33 	3222	1813	56.27 %
>lcl|NC_000913.3_cds_NP_414576.4_34 	396	182	45.96 %
>lcl|NC_000913.3_cds_NP_414577.2_35 	591	325	54.99 %
>lcl|NC_000913.3_cds_NP_414578.2_36 	786	425	54.07 %
>lcl|NC_000913.3_cds_NP_414579.4_37 	1554	793	51.03 %
>lcl|NC_000913.3_cds_NP_414580.1_38 	1218	641	52.63 %
>lcl|NC_000913.3_cds_NP_414581.1_39 	1143	616	53.89 %
>lcl|NC_000913.3_cds_NP_414582.1_40 	1515	785	51.82 %
>lcl|NC_000913.3_cds_NP_414583.2_41 	771	405	52.53 %
>lcl|NC_000913.3_cds_NP_414584.1_42 	942	534	56.69 %
>lcl|NC_000913.3_cds_NP_414585.1_43 	1287	707	54.93 %
>lcl|NC_000913.3_cds_NP_414586.1_44 	288	164	56.94 %
>lcl|NC_000913.3_cds_NP_414587.1_45 	1332	710	53.30 %
>lcl|NC_000913.3_cds_NP_414588.1_46 	531	290	54.61 %
>lcl|NC_000913.3_cds_NP_414589.1_47 	1863	1034	55.50 %
>lcl|NC_000913.3_cds_NP_414590.1_48 	480	253	52.71 %
>lcl|NC_000913.3_cds_NP_414591.1_49 	843	470	55.75 %
>lcl|NC_000913.3_cds_NP_414592.1_50 	378	196	51.85 %
>lcl|NC_000913.3_cds_NP_414593.1_51 	822	436	53.04 %
>lcl|NC_000913.3_cds_NP_414594.1_52 	990	558	56.36 %
>lcl|NC_000913.3_cds_NP_414595.1_53 	1287	693	53.85 %
>lcl|NC_000913.3_cds_NP_414596.1_54 	2355	1210	51.38 %
>lcl|NC_000913.3_cds_NP_414597.1_55 	816	430	52.70 %
>lcl|NC_000913.3_cds_YP_009518734.1_56 	651	294	45.16 %
>lcl|NC_000913.3_cds_YP_009518735.1_57 	159	54	33.96 %
>lcl|NC_000913.3_cds_NP_414600.1_58 	660	356	53.94 %
>lcl|NC_000913.3_cds_NP_414601.1_59 	2907	1596	54.90 %
>lcl|NC_000913.3_cds_NP_414602.1_60 	2352	1302	55.36 %
>lcl|NC_000913.3_cds_NP_414603.1_61 	696	385	55.32 %
>lcl|NC_000913.3_cds_NP_414604.1_62 	1503	834	55.49 %
>lcl|NC_000913.3_cds_NP_414605.1_63 	1701	987	58.02 %
>lcl|NC_000913.3_cds_NP_414606.1_64 	879	462	52.56 %
>lcl|NC_000913.3_cds_NP_414607.1_65 	765	412	53.86 %
>lcl|NC_000913.3_cds_NP_414608.1_66 	699	399	57.08 %
>lcl|NC_000913.3_cds_NP_414609.1_67 	1611	941	58.41 %
>lcl|NC_000913.3_cds_NP_414610.1_68 	984	524	53.25 %
>lcl|NC_000913.3_cds_NP_414611.1_69 	1656	909	54.89 %
>lcl|NC_000913.3_cds_YP_002791237.1_70 	132	62	46.97 %
>lcl|NC_000913.3_cds_YP_025293.1_71 	1179	572	48.52 %
>lcl|NC_000913.3_cds_NP_414613.1_72 	606	312	51.49 %
>lcl|NC_000913.3_cds_NP_414614.1_73 	1401	781	55.75 %
>lcl|NC_000913.3_cds_NP_414615.4_74 	1092	606	55.49 %
>lcl|NC_000913.3_cds_NP_414616.1_75 	1572	833	52.99 %
>lcl|NC_000913.3_cds_NP_414617.1_76 	87	41	47.13 %
>lcl|NC_000913.3_cds_NP_414618.4_77 	945	432	45.71 %
>lcl|NC_000913.3_cds_YP_009518736.1_78 	45	14	31.11 %
>lcl|NC_000913.3_cds_YP_025294.2_79 	1725	913	52.93 %
>lcl|NC_000913.3_cds_NP_414620.1_80 	492	247	50.20 %
>lcl|NC_000913.3_cds_NP_414622.1_81 	1005	552	54.93 %
>lcl|NC_000913.3_cds_NP_414623.1_82 	459	239	52.07 %
